  kp gain   kd gain         mean       median       min          max   % below 20
  4.00E09   4.00E10      24.4071       8.6535    0.0000     163.4309      79.7780
  4.25E09   4.25E10      22.8672       9.0372    0.0000     166.8764      78.0422
  4.50E09   4.50E10      26.9003      16.5851    0.0000     175.5525      65.4072
  4.75E09   4.75E10      28.9750      15.6468    0.0000     167.5650      70.6112
  5.00E09   5.00E10      27.7114      16.1961    0.0000     166.3655      63.7157
  5.25E09   5.25E10      25.7841      12.1384    0.0000     178.8321      75.4765
  5.50E09   5.50E10      27.1090      11.0209    0.0000     172.6445      73.1609
  5.75E09   5.75E10      24.3827       9.6849    0.0000     177.8546      78.9819
  6.00E09   6.00E10      26.2871      13.5147    0.0000     172.5572      68.9179
  6.25E09   6.25E10      25.3551      13.2024    0.0000     177.5030      69.6431
  6.50E09   6.50E10      23.0866       9.0829    0.0000     176.0324      77.7975
  6.75E09   6.75E10      24.2334      10.0514    0.0000     178.4625      78.7354
  7.00E09   7.00E10      24.9102       8.4067    0.0000     175.8773      83.5103
  7.25E09   7.25E10      31.4838      18.3584    0.0000     175.6666      63.5472
  7.50E09   7.50E10      24.6861       9.0718    0.0000     171.2711      76.1716
  7.75E09   7.75E10      25.3658      11.4476    0.0000     171.3166      70.7069
  8.00E09   8.00E10      28.2562      13.1766    0.0000     179.4229      72.4197
  8.25E09   8.25E10      21.2567       6.7153    0.0000     172.8461      84.4341
  8.50E09   8.50E10      28.6848      15.4906    0.0000     153.1770      66.1022
  8.75E09   8.75E10      27.1990      13.9169    0.0000     156.4452      71.6644
  9.00E09   9.00E10      23.7518      10.2219    0.0000     170.4310      78.9748
  9.25E09   9.25E10      22.8103      11.1891    0.0000     149.1273      71.8967
  9.50E09   9.50E10      28.0953      14.6743    0.0000     175.4342      73.0173
  9.75E09   9.75E10      25.4626      10.1394    0.0000     170.9697      73.5456
  1.00E10   1.00E11      22.9689       9.0271    0.0000     156.9988      80.8844
  1.25E10   1.25E11      25.6365      11.6095    0.0000     169.2367      74.8630
  1.50E10   1.50E11      25.3301      12.3346    0.0000     177.5747      65.5153
  1.75E10   1.75E11      26.9738      13.3692    0.0000     158.7478      67.1838
  2.00E10   2.00E11      22.3075       9.1424    0.0000     175.3621      82.3242
  2.25E10   2.25E11      28.9379      14.2367    0.0000     179.5213      68.9604
  2.50E10   2.50E11      27.5160      15.8031    0.0000     176.1897      67.9338
  2.75E10   2.75E11      26.1363      12.5879    0.0000     178.5325      75.1840
  3.00E10   3.00E11      23.6829       8.5744    0.0000     162.6596      82.1362
  3.25E10   3.25E11      27.0114      13.1234    0.0000     174.5989      68.6874
  3.50E10   3.50E11      25.7114      11.7594    0.0000     177.6506      74.7336
  3.75E10   3.75E11      28.8709      16.0670    0.0000     179.5121      63.8930
  4.00E10   4.00E11      26.0724      10.6986    0.0000     176.2893      72.9712
  4.25E10   4.25E11      23.1017      10.1241    0.0000     175.0866      75.3435
  4.50E10   4.50E11      24.6422      13.4230    0.0000     144.5020      67.0686
  4.75E10   4.75E11      19.5607       6.9020    0.0000     178.9116      81.5156
  5.00E10   5.00E11      23.5241      11.7263    0.0000     171.0836      70.1555
  5.25E10   5.25E11      26.4502      13.4093    0.0000     169.7390      70.0012
  5.50E10   5.50E11      26.4027      13.8451    0.0000     179.8584      69.0296
  5.75E10   5.75E11      20.6270       7.8014    0.0000     167.4367      82.9820
  6.00E10   6.00E11      24.8188      11.9054    0.0000     172.5582      72.8346
  6.25E10   6.25E11      23.3335      10.7678    0.0000     138.6627      75.0421
  6.50E10   6.50E11      27.3908      17.9551    0.0000     169.8720      64.7618
  6.75E10   6.75E11      24.2997       9.9712    0.0000     176.4019      73.7407
  7.00E10   7.00E11      24.8542      10.4221    0.0000     179.0847      78.3790
  7.25E10   7.25E11      25.1829      11.0541    0.0000     168.7043      75.8205
  7.50E10   7.50E11      25.4992       9.6296    0.0000     173.0597      81.4731
  7.75E10   7.75E11      27.2123      12.6379    0.0000     177.8101      73.4729
  8.00E10   8.00E11      27.5156      16.0589    0.0000     174.0174      65.3895
  8.25E10   8.25E11      22.7003       8.9901    0.0000     176.7578      82.4270
  8.50E10   8.50E11      22.5069       8.7225    0.0000     165.7235      77.0670
  8.75E10   8.75E11      28.2858      11.1586    0.0000     177.0955      73.0314
  9.00E10   9.00E11      26.7298      11.1223    0.0000     175.2379      74.4960
  9.25E10   9.25E11      25.9433      11.2031    0.0000     174.8338      70.6927
  9.50E10   9.50E11      24.5272      10.6744    0.0000     176.1462      77.5688
  9.75E10   9.75E11      25.4666      10.7823    0.0000     172.9153      72.7850
  1.00E11   1.00E12      24.5404       6.9885    0.0000     179.1297      79.8294
  1.25E11   1.25E12      25.3155      11.1694    0.0000     167.8379      73.2017
  1.50E11   1.50E12      24.2876       9.5617    0.0000     177.0293      78.7053
  1.75E11   1.75E12      26.7340      16.6779    0.0000     166.9065      66.5987
  2.00E11   2.00E12      25.2833      13.2203    0.0000     175.5175      68.3328
